Question,Answer
What happens if I miss a quiz or assignment deadline due to illness?,"You should inform your lecturer immediately and provide supporting documents (e.g., medical certificate). The lecturer will decide whether to allow a replacement assessment or extend the deadline."
Can I request to view my exam script after results are released?,"Yes, you may request to view your exam script through your FGO within a specified period after results are released. A fee may apply."
"What is the ""Bar List"" and how do I avoid being on it?",The Bar List is a list of students barred from sitting for final exams due to insufficient attendance or failure to meet course requirements. Ensure you attend at least 80% of classes and complete all assessments.
How do I know if I am on probation or good academic standing?,Your academic status is stated in your results slip or can be checked via the UTAR Portal. Probation occurs if your GPA falls below the required threshold.
Can I appeal to change my academic status?,"No, academic status is determined by your GPA. However, you may appeal for special consideration if there are extenuating circumstances. Contact your FGO for guidance."
When should I start looking for an Industrial Training placement?,You should start searching at least one trimester before your internship trimester. Check the FICT Student Portal and Industrial Training website regularly.
Can I do my Industrial Training outside Malaysia?,"Yes, but you must get approval from the FICT Industrial Training Coordinator and ensure the company meets the required criteria."
What is the difference between FYP1 and FYP2?,"FYP1 is the proposal and planning phase, while FYP2 is the implementation and completion phase. Both are compulsory for degree students"
Can I change my FYP topic after registration?,"Yes, but you must get approval from your supervisor and possibly the FYP Coordinator. Changes are usually only allowed within the first few weeks."
How do I apply for a student visa renewal?,"Visit the Department of Student Affairs (DSA) or International Student Office for assistance. Bring your passport, offer letter, and current visa."
Where can I get counseling or mental health support?,UTAR provides counseling services through the Department of Student Affairs (DSA). You can walk in or make an appointment.
How do I join a student club or society?,You can join during the Club Recruitment Drive or contact the Student Representative Council (SRC) or DSA for more information.
How do I apply for a scholarship or financial aid?,Visit the DSFA website for types of scholarships and application procedures: https://dsfa.utar.edu.my/Types-of-Scholarships.php
Can I appeal if my scholarship application is rejected?,"Yes, you may appeal by writing to DSFA with supporting documents. Appeals are considered on a case-by-case basis."
What should I do if I forget my UTAR Portal password?,"Use the ""Forgot Password"" function on the portal or contact the IT Support Center for assistance."
Who do I contact if I have issues with course registration system?,Contact the FGO or IT Support Center. Provide your student ID and a screenshot of the error if possible.
Can I overload beyond the maximum credit hours?,"Yes, but only with special approval from your Head of Department (HOD) or Dean. You must have a strong academic record and justify why you need to overload."
"What is the difference between core, elective, and MPU courses?","Core courses are compulsory for your programme, electives are optional courses you can choose, and MPU (Mata Pelajaran Umum) courses are general education subjects required by the Malaysian government."
Can I take a course from a different programme as an elective?,"Yes, but it must be approved by your HOD and the offering faculty. Not all courses are open to students from other programmes."
What happens if I register for a course but do not attend it?,You will still be charged fees and may receive a failing grade. You must officially drop or withdraw from the course.
How do I add or drop a course during the add/drop period?,"Log in to the UTAR Portal, go to ""Course Registration,"" and add or drop courses within the stipulated add/drop period. No penalty is given during this period."
"What is the difference between ""drop"" and ""withdraw""?","""Drop"" happens during the add/drop period and no fee is charged. ""Withdraw"" happens after the add/drop period, fees are not refunded, and a ""W"" grade may appear on your transcript."
What is the format of the final exam?,"Exam format varies by course. Refer to your course outline or ask your lecturer. It may be written, oral, practical, or project-based."
Can I bring a calculator or formula sheet to the exam?,Only if permitted by your lecturer. Check your course outline or exam instructions. Unauthorized materials are considered cheating.
What happens if I am caught cheating during an exam?,"You will face disciplinary action, which may include failing the course, suspension, or expulsion. Refer to UTAR's academic integrity policy."
"How do I apply for special exam arrangements (e.g., extra time for medical reasons)?","Submit a request to your FGO with supporting documents (e.g., medical report) at least two weeks before the exam."
Can I defer my final exam to the next trimester?,"Yes, but only under exceptional circumstances (e.g., serious illness, family emergency). You must apply through your FGO with supporting documents."
How is GPA calculated?,"GPA is calculated by multiplying the grade point of each course by its credit hours, summing them up, and dividing by total credit hours taken."
What is the difference between GPA and CGPA?,"GPA is for a single trimester, while CGPA is the cumulative average of all trimesters."
How many times can I repeat a failed course?,"You may repeat a failed course, but there may be limits. Check with your FGO. Repeated courses will appear on your transcript."
Can I graduate if I have a failed course?,"No, you must pass all core courses and meet the minimum CGPA requirement to graduate."
How do I apply for graduation?,You will be notified by the university when you are eligible. You must apply through the UTAR Portal or FGO and clear all outstanding fees.
How many weeks is the Industrial Training?,"Industrial Training duration varies by programme. Typically, it is 10 to 12 weeks. Check your programme structure for exact requirements."
Can I do my Industrial Training at a company where I have relatives working?,"Generally, no, to avoid conflict of interest. However, exceptions may be considered with approval from the Industrial Training Coordinator."
What documents do I need to submit for Industrial Training?,"You usually need to submit an offer letter, indemnity form, and logbook/report. Check the FICT Industrial Training website for the full list."
Can I fail my Industrial Training?,"Yes, if you do not meet attendance, performance, or report submission requirements. You may need to repeat the training."
Who is my FYP supervisor and how are they assigned?,Supervisors are assigned by the FYP Coordinator based on your topic or area of interest. You may also propose a supervisor.
Can I do my FYP in a group?,"FYP is usually individual. However, some programmes allow group FYP with approval. Check with your FYP Coordinator."
What is the assessment criteria for FYP?,"Assessment typically includes proposal, progress reports, final report, presentation, and supervisor evaluation."
What is the minimum CGPA to maintain my scholarship?,It depends on the scholarship type. Most require a minimum CGPA of 3.0 or higher. Check with DSFA.
Can I hold more than one scholarship at a time?,"Usually no, unless the scholarships are from different sources and do not overlap in benefits. Check with DSFA."
Are there loans available for tuition fees?,"Yes, you can apply for PTPTN or other bank loans. Visit DSFA for more information."
How do I apply for PTPTN?,"Apply online through the PTPTN website. You will need your offer letter, student ID, and bank account details."
What is the minimum CGPA to graduate?,"For FICT undergraduate programmes, the minimum CGPA to graduate is 2.0000."
